,seller_id,instances,seller_zip_code_prefix,seller_city,seller_state,geolocation_lat,geolocation_lng
254,850f4f8af5ea87287ac68de36e29107f,192,4367,sao paulo,SP,-23.64920222537361,-46.66271287330481
138,ccc4bbb5f32a6ab2b7066a4130f114e3,192,80310,curitiba,PR,-25.4474321152592,-49.30266917430316
256,5656537e588803a555b8eb41f07a944b,188,72015,brasilia,DF,-15.833197649558295,-48.0489825186224
258,b499c00f28f4b7069ff6550af8c1348a,187,13481,limeira,SP,-22.557497935618045,-47.36983432147516
257,7d76b645482be4a332374e8223836592,187,1511,sao paulo,SP,-23.553148756592982,-46.63247267485142
265,669ae81880e08f269a64487cfb287169,186,89160,rio do sul,SC,-27.18925055862137,-49.587502981575696
267,cfb1a033743668a192316f3c6d1d2671,184,18110,votorantim,SP,-23.528698892323405,-47.4451913928839
11,7ad32824caee82087b3e2e5f33b1bf32,184,14940,ibitinga,SP,-21.734662725633285,-48.8093491424973
270,d98eec89afa3380e14463da2aabaea72,183,90010,porto alegre,RS,-30.02717858228982,-51.224179656393005
271,de23c3b98a88888289c6f5cc1209054a,181,5530,sao paulo,SP,-23.575142089985608,-46.71495157619732
272,5a8e7d5003a1f221f9e1d6e411de7c23,181,13076,campinas,SP,-22.87551775671997,-47.03926772084788
273,a416b6a846a11724393025641d4edd5e,181,3702,sao paulo,SP,-23.51349268220902,-46.546511725921874
275,522620dcb18a6b31cd7bdf73665113a9,180,85801,cascavel,PR,-24.9533274134344,-53.45202121717929
278,0be8ff43f22e456b4e0371b2245e4d01,180,4461,sao paulo,SP,-23.68998397140635,-46.67856834332622
279,8a32e327fe2c1b3511609d81aaf9f042,180,2443,sao paulo,SP,-23.47056276602804,-46.64544514793121
280,1a3df491d1c4f1589fc2b934ada68bf2,178,89224,joinville,SC,-26.256954419870947,-48.79725043352188
281,6d66611d7c44cc30ce351abc49a68421,176,4378,sao paulo,SP,-23.64192602415024,-46.653779695702674
282,8f2ce03f928b567e3d56181ae20ae952,175,5141,pirituba,SP,-23.49065997530149,-46.72470495767213
284,edb1ef5e36e0c8cd84eb3c9b003e486d,175,25957,teresopolis,RJ,-22.30879999999996,-42.88533999999999
285,2c9e548be18521d1c43cde1c582c6de8,174,8752,mogi das cruzes,SP,-23.460688612873927,-46.2331170057766
287,7e1fb0a3ebfb01ffb3a7dae98bf3238d,174,14403,franca,SP,-20.532984442771863,-47.36010605181535
291,537eb890efff034a88679788b647c564,173,20270,rio de janeiro,RJ,-22.908849715794315,-43.21181179239999
292,2e1c9f22be269ef4643f826c9e650a52,173,4850,sao paulo,SP,-23.659407786809464,-46.67459842700101
293,00ee68308b45bc5e2660cd833c3f81cc,172,3333,sao paulo,SP,-23.553607411025816,-46.56731320858096
294,1c68394e931a64f90ea236c5ea590300,171,87114,sarandi,PR,-23.42318178331124,-51.84877000767314
12,004c9cd9d87a3c30c522c48c4fc07416,170,14940,ibitinga,SP,-21.734662725633285,-48.8093491424973
296,b76dba6c951ab00dc4edf0a1aa88037e,169,3237,sao paulo,SP,-23.590955189566607,-46.55115053996194
297,2a84855fd20af891be03bc5924d2b453,168,30111,belo horizonte,MG,-19.913589221190016,-43.93623364096637
298,2528513dd95219a6013d4d05176e391a,167,6060,osasco,SP,-23.54813160530229,-46.77635093558485
300,b4ffb71f0cb1b1c3d63fad021ecf93e1,165,3880,sao paulo,SP,-23.50649234793597,-46.48311768165533
299,259f7b5e6e482c230e5bfaa670b6bb8f,165,8550,poa,SP,-23.518457263817105,-46.33579111358552
301,ce27a3cc3c8cc1ea79d11e561e9bebb6,164,3006,sao paulo,SP,-23.540241447400344,-46.6235228613596
302,36a968b544695394e4e9d7572688598f,162,11010,santos,SP,-23.931125717179302,-46.32251490091752
304,3c7c4a49ec3c6550809089c6a2ca9370,160,3804,sao paulo,SP,-23.494409507905853,-46.47964060491086
306,76d5af76d0271110f9af36c92573f765,159,3194,sao paulo,SP,-23.56788988703906,-46.57394821510183
99,6cd68b3ed6d59aaa9fece558ad360c0a,157,31255,belo horizonte,MG,-19.858588848563134,-43.94175915987643
310,5cf13accae3222c70a9cac40818ae839,156,38700,patos de minas,MG,-18.57832911066058,-46.50056942688396
307,7008613ea464bad5cb9b83456e1e6a8f,156,89460,canoinhas,SC,-26.03460999999993,-50.36003447677607
309,66922902710d126a0e7d26b0e3805106,156,31842,belo horizonte,MG,-19.82529212568105,-43.9149650342778
313,8b28d096634035667e8263d57ba3368c,155,12243,sao jose dos campos,SP,-23.07803021099994,-45.88819568197096
311,b33e7c55446eabf8fe1a42d037ac7d6d,155,14850,pradopolis,SP,-21.336500999999945,-48.05918764273619
314,44073f8b7e41514de3b7815dd0237f4f,153,71070,brasilia,DF,-15.748033023861783,-47.845435572999
315,48436dade18ac8b2bce089ec2a041202,151,27277,volta redonda,SP,-22.485553291707504,-44.11751980513139
316,e9d99831abad74458942f21e16f33f92,149,3542,sao paulo,SP,-23.529047605603346,-46.51027510745197
317,17a053fcb14bd219540cbde0df490be0,149,13843,mogi guacu,SP,-22.320670025185784,-46.92524172999757
319,18a349e75d307f4b4cc646a691ed4216,148,1319,sao paulo,SP,-23.55071881932019,-46.63809035636795
318,229c3efbfb0ea2058de4ccdfbc3d784a,148,30190,belo horizonte,MG,-19.918224053551945,-43.93510849247982
321,a673821011d0cec28146ea42f5ab767f,146,3809,sao paulo,SP,-23.4882783075192,-46.47148030766342
322,db4350fd57ae30082dec7acbaacc17f9,146,3126,sao paulo,SP,-23.577426579815427,-46.585188309249205
323,0bae85eb84b9fb3bd773911e89288d54,146,88301,itajai,SP,-26.90199220706617,-48.64954223176754
327,7722b1df1b0e383e000397b2c11e3e19,145,9715,sao bernardo do campo,SP,-23.707205015263444,-46.54186174029413
13,a3e9a2c700480d9bb01fba070ba80a0e,144,14940,ibitinga,SP,-21.734662725633285,-48.8093491424973
328,dd7ddc04e1b6c2c614352b383efe2d36,143,3471,sao paulo,SP,-23.561319949766265,-46.51561970260835
329,79ebd9a61bac3eaf882805ed4ecfa12a,143,85802,cascavel,PR,-24.94071665361537,-53.40508345279603
333,710e3548e02bc1d2831dfc4f1b5b14d4,142,86600,rolandia,PR,-23.30225166351132,-51.33568984920062
332,0adac9fbd9a2b63cccaac4f8756c1ca8,142,13290,louveira,SP,-23.065080097557438,-46.87850751373421
335,1e8b33f18b4f7598d87f5cbee2282cc2,140,2066,sao paulo,SP,-23.50475193228113,-46.601551508742574
337,ef0ace09169ac090589d85746e3e036f,140,24451,sao goncalo,RJ,-22.822865877827123,-42.99191713101192
339,c9c7905cffc4ef9ff9f113554423e671,139,6871,itapecerica da serra,SP,-23.719056074006343,-46.8512383342295
340,ca3bd7cd9f149df75950150d010fe4a2,138,4361,sao paulo,SP,-23.641264728836067,-46.66008080431656
342,aac29b1b99776be73c3049939652091d,138,38408,uberlandia,MG,-18.91073434915459,-48.22072276249653
303,0db783cfcd3b73998abc6e10e59a102f,137,11010,santos,SP,-23.931125717179302,-46.32251490091752
14,640e21a7d01df7614a3b4923e990d40c,137,14940,ibitinga,SP,-21.734662725633285,-48.8093491424973
343,1ca7077d890b907f89be8c954a02686a,137,6506,santana de parnaiba,SP,-23.41623184041202,-46.95630368082404
229,00fc707aaaad2d31347cf883cd2dfe10,135,87025,maringa,PR,-23.368720587297155,-51.91717930762838
344,12b9676b00f60f3b700e83af21824c0e,135,95780,montenegro,RS,-29.653392775235304,-51.35104621665878
346,6a8b085f816a1f75f92dbac6eb545f8f,135,14709,bebedouro,SP,-20.912743834063463,-48.483864
347,59b22a78efb79a4797979612b885db36,133,38414,uberlandia,MG,-18.89219459390486,-48.30249673382923
349,42b729f859728f5079499127a9c2ef37,132,3910,sao paulo,SP,-23.582086166253085,-46.51308568373823
350,1127b7f2594683f2510f1c2c834a486b,132,13087,campinas,SP,-22.83762552899768,-47.04144097733791
86,cd68562d3f44870c08922d380acae552,132,14050,ribeirao preto,SP,-21.15609509547579,-47.7734463702464
351,01fdefa7697d26ad920e9e0346d4bd1b,131,86050,londrina,PR,-23.317082119078883,-51.16284234319866
352,aafe36600ce604f205b86b5084d3d767,131,88115,sao jose,SC,-27.532245826857658,-48.61866651354736
15,b2479f944e1b90cf8a5de1bbfde284d6,131,14940,ibitinga,SP,-21.734662725633285,-48.8093491424973
353,8e6d7754bc7e0f22c96d255ebda59eba,130,12233,sao jose dos campos,SP,-23.23596609987949,-45.88075277075989
354,609e1a9a6c2539919b8205cf7c4e6ff0,130,88359,brusque,SC,-27.12672845752367,-48.93217189488893
357,080102cd0a76b09e0dcf55fcacc60e05,130,31140,belo horizonte,MG,-19.886558217871787,-43.92765987076148
358,17ca9b9e9b9ef8fdb529001b49ebb50f,129,32677,betim,MG,-19.932431427145243,-44.10635801817762
103,febab0275244b9a49a623f0bd613ca2f,129,13920,pedreira,SP,-22.71188902267404,-46.65813811804285
359,59fb871bf6f4522a87ba567b42dafecf,128,3655,sao paulo,SP,-23.5235922536788,-46.5123943709389
363,6c7d50c24b3ccd2fd83b44d8bb34e073,128,19025,presidente prudente,SP,-22.091392968186355,-51.39934496335843
355,c33847515fa6305ce6feb1e818569f13,128,88359,brusque,SC,-27.12672845752367,-48.93217189488893
361,f80edd2c5aaa505cc4b0a3b219abf4b8,128,3431,sao paulo,SP,-23.548066710802654,-46.52886592645276
367,289cdb325fb7e7f891c38608bf9e0962,126,31570,belo horizonte,SP,-19.8038109693592,-43.972004147931216
365,33a6f4b1e7cdc205511e76ba1b6e0186,126,7084,guarulhos,SP,-23.42548506633389,-46.484469408993874
369,431af27f296bc6519d890aa5a05fdb11,125,14110,ribeirao preto,SP,-21.115912358589654,-47.79194450291419
368,e5a38146df062edaf55c38afa99e42dc,125,1233,sao paulo,SP,-23.532378789341564,-46.659581800998325
371,c31eff8334d6b3047ed34bebd4d62c36,123,13322,salto,SP,-23.17982724791803,-47.25856960675907
373,f5a590cf36251cf1162ea35bef76fe84,122,9720,sao bernardo do campo,SP,-23.698889446275167,-46.55054293450282
16,3b15288545f8928d3e65a8f949a28291,121,14940,ibitinga,SP,-21.734662725633285,-48.8093491424973
375,b1fc4f64df5a0e8b6913ab38803c57a9,121,24440,sao goncalo,RJ,-22.814563217580247,-43.04648004569514
376,fc906263ca5083d09dce42fe02247800,119,31030,belo horizonte,MG,-19.868312620154164,-43.91303062763262
377,bfd27a966d91cfaafdb25d076585f0da,118,13930,serra negra,SP,-22.584341999999943,-46.69130252506815
380,8c16d1f32a54d92897cc437244442e1b,118,89023,blumenau,SC,-26.93348883171428,-49.06400752008404
381,dbb9b48c841a0e39e21f98e1a6b2ec3e,118,3929,sao paulo,SP,-23.60227299861501,-46.485804038576966
386,25e6ffe976bd75618accfe16cefcbd0d,117,5503,sao paulo,SP,-23.56887845074722,-46.70732099243655
382,1b4c3a6f53068f0b6944d2d005c9fc89,117,88730,sao ludgero,SC,-28.321035604700054,-49.13017275537449
384,f4aba7c0bca51484c30ab7bdc34bcdd1,117,1031,sao paulo,SP,-23.536864121011018,-46.63349313820771
259,729f06993dac8e860d4f02d7088ca48a,115,13481,limeira,SP,-22.557497935618045,-47.36983432147516
238,6973a06f484aacf400ece213dbf3d946,115,12230,sao jose dos campos,SP,-23.217522914795985,-45.880651592561605
387,8e6cc767478edae941d9bd9eb778d77a,114,38442,araguari,MG,-18.62915662455154,-48.18070978485147
389,70eea00b476a314817cefde4aad4f89a,114,13250,itatiba,SP,-22.942881150750285,-46.70264272612543
100,dd2bdf855a9172734fbc3744021ae9b9,113,31255,belo horizonte,MG,-19.858588848563134,-43.94175915987643
392,aaed1309374718fdd995ee4c58c9dfcd,112,89120,timbo,SC,-26.792263861667816,-49.24491181112587
391,701938c450705b8ae65fc923b70f35c7,112,15014,s jose do rio preto,SP,-20.812687868408965,-49.37185136840532
390,4371b634e0efc0e22b09b52907d9d469,112,2028,sao paulo,SP,-23.50746649624909,-46.61680530145028
394,5343d0649eca2a983820bfe93fc4d17e,111,9270,santo andre,SP,-23.631696355819685,-46.48692094408211
395,b14db04aa7881970e83ffa9426897925,111,18048,sorocaba,SP,-23.53056101915858,-47.46283825506376
397,d94a40fd42351c259927028d163af842,110,37443,baependi,MG,-21.951234000000003,-44.82340999999997
399,612170e34b97004b3ba37eae81836b4c,110,93542,novo hamburgo,RS,-29.67557951352225,-51.082505462402025
400,282f23a9769b2690c5dda22e316f9941,110,31573,belo horizonte,MG,-19.80467632223438,-43.98303037374282
401,8444e55c1f13cd5c179851e5ca5ebd00,109,37584,congonhal,MG,-20.005741365537304,-43.09265133326443
402,d6b1ce66b035a475f00c017792ff9769,108,13327,salto,SP,-23.173625043020365,-47.30047556630075
403,822166ed1e47908f7cfb49946d03c726,108,25803,tres rios,RJ,-22.113999015973008,-43.203746759612784
17,d20b021d3efdf267a402c402a48ea64b,106,14940,ibitinga,SP,-21.734662725633285,-48.8093491424973
405,8a432f4e5b471f8da497d7dc517666e2,106,19042,presidente prudente,SP,-22.13277981964018,-51.36533524254624
404,a49928bcdf77c55c6d6e05e09a9b4ca5,106,3017,sao paulo,SP,-23.532447184574945,-46.60773080878862
406,530ec6109d11eaaf87999465c6afee01,104,85807,cascavel,PR,-24.930223697716503,-53.47982028146438
408,827f8f69dfa529c561901c4f2e0f332f,104,81880,curitiba,PR,-25.5324040202551,-49.28601108090484
411,7ea5bfa6c340f58f8e71fc1f0412b0d6,104,30180,belo horizonte,MG,-19.916833379681467,-43.93440826048811
412,ac3508719a1d8f5b7614b798f70af136,104,92030,canoas,RS,-29.905758,-51.13075336979779
409,ececbfcff9804a2d6b40f589df8eef2b,104,14407,franca,SP,-20.473481743263,-47.4075670331332
414,8648b1e89e9b349e32d3741b30ec737e,103,12308,jacarei,SP,-23.29708461226845,-45.9567331239252
184,11bfa66332777660bd0640ee84d47006,102,14085,ribeirao preto,SP,-21.154204456287147,-47.79092375164423
416,f84fa566034f5e8e880a07ec624c56af,102,13330,indaiatuba,SP,-23.074320357829134,-47.19741214338984
420,688756f717c462a206ad854c5027a64a,101,7094,guarulhos,SP,-23.44948291118931,-46.42216280682672
421,3df020b72d3d44b3af9d110fa3940b65,101,15704,jales,SP,-20.267730011884883,-50.54518938020323
422,9d4db00d65d7760644ac0c14edb5fd86,100,18025,sorocaba,SP,-23.50835432775898,-47.43434322300769
274,5c243662ce92d84573bfaff24c3e3700,100,3702,sao paulo,SP,-23.51349268220902,-46.546511725921874
423,80e6699fe29150b372a0c8a1ebf7dcc8,100,83323,pinhais,PR,-25.432332355588542,-49.18385880183504
432,dbd66278cbfe1aa1000f90a217ca4695,99,5588,sao paulo,SP,-23.57370846517395,-46.736561079519866
428,f84a00e60c73a49e7e851c9bdca3a5bb,99,20756,rio de janeiro,RJ,-22.886098638900197,-43.293133466010666
427,d12c926d74ceff0a90a21184466ce161,99,2634,sao paulo,SP,-23.456904580068123,-46.649144734664446
429,3be634553519fb6536a03e1358e9fdc7,99,8275,sao paulo,SP,-23.55273771080266,-46.45460615098965
433,9616352088dcf83a7c06637f4ebf1c80,98,87504,umuarama,PR,-23.745443740818025,-53.273519813600586
436,1d8dbc4f32378d715c717c1c1fc57bae,98,86706,arapongas,PR,-23.408355069971574,-51.41460369847018
439,7b07b3c7487f0ea825fc6df75abd658b,98,2016,sao paulo,SP,-23.500919514570956,-46.50930754884874
440,70c27847eca8195c983ed7e798c56743,98,20930,rio de janeiro,RJ,-22.87950445126201,-43.21938134776962
442,0509040ea3fe50071181bbc359eb7738,98,31710,belo horizonte,MG,-19.80669983458364,-43.909597593109865
443,f27e33c6d29b5138fa9967bcd445b6d5,98,4273,sao paulo,SP,-23.592740898695823,-46.6049094296554
